Id,family,main_biogeographic_realm,Latitude,longitude,insular_endemic,maxSVL,fSVL,hatchlingSVL,habitat_modes,activity_time,substrate,microhabitat,foraging_mode,reproductive_mode,clutch_size,IUCN_redlist_assessment,IUCN_population_trend,PrecipSeasonality,TempSeasonality
Ablepharus_kitaibelii,scincidae,Palearctic,41.11,25.77,no,58,43.4,20,facultative_burrower,Diurnal,Terrestrial,Terrestrial,active_foraging,Oviparous,2.8,LC,stable,39.5,7460.9
Acontias_meleagris,scincidae,Afrotropic,33.24,21.77,no,295,162.4,79,burrower,Cathemeral,Fossorial,Fossorial,active_foraging,Viviparous,3,LC,stable,37,3950.5
Agama_agama,agamidae,Afrotropic,4.2,15.61,no,150,89.8,31,terrestrial,Diurnal,Arboreal_Saxicolous,Scansorial,sit_and_wait,Oviparous,8.8,LC,stable,90.4,1719.9
Amphisbaena_scutigerum,amphisbaenidae,Neotropic,22.79,-43.04,no,500,NA,NA,burrower,Cathemeral,Fossorial,Fossorial,active_foraging,Oviparous,NA,DD,unknown,NA,NA
Anguis_fragilis,anguidae,Palearctic,50.12,8.1,no,291,176.5,47,facultative_burrower,Diurnal,Cryptic,Terrestrial,active_foraging,Viviparous,9.48,LC,stable,24.3,6158.11
Bachia_flavescens,gymnophthalmidae,Neotropic,0.37,-60.46,no,80,67.5,32,facultative_burrower,Diurnal,Fossorial_Terrestrial,Fossorial,active_foraging,Oviparous,1,LC,unknown,49.7,615.7
Basiliscus_vittatus,corytophanidae,Neotropic,16.82,-91.18,no,225,117.8,37.5,aerial_semiarboreal,Diurnal,Semi_Aquatic,Scansorial,sit_and_wait,Oviparous,5.4,LC,stable,70.9,1480.3
Blanus_cinereus,blanidae,Palearctic,37.92,-4.57,no,254,159,78,burrower,Cathemeral,Fossorial,Fossorial,active_foraging,Oviparous,2,LC,stable,45.6,6133
Bradypodion_pumilum,chamaeleonidae,Afrotropic,33.32,17.74,no,103.6,71.4,21,arboreal,Diurnal,Arboreal_Terrestrial,Scansorial,mixed,Viviparous,12.5,NT,decreasing,78.7,3175.6
Chalcides_chalcides,scincidae,Palearctic,40.6,12.65,no,210,141.7,45,facultative_burrower,Cathemeral,Fossorial_Terrestrial,Fossorial,active_foraging,Viviparous,7.4,LC,decreasing,40.4,5991.7
Chalcides_sepsoides,scincidae,Palearctic,28.89,25.62,no,116,98.2,38,facultative_burrower,Nocturnal,Fossorial,Fossorial,active_foraging,Viviparous,4.35,LC,stable,130.1,6186.9
Dasia_olivacea,scincidae,Oriental,2.92,107.45,no,150,87.3,35,arboreal,Diurnal,Arboreal,Scansorial,active_foraging,Oviparous,6.17,LC,stable,40.3,507.7
Draco_volans,agamidae,Oriental,7.35,110.24,yes,96,78,26.5,aerial_arboreal,Diurnal,Arboreal,Scansorial,sit_and_wait,Oviparous,4.5,LC,unknown,54.8,422.2
Eublepharis_macularius,eublepharidae,Oriental,28.68,70.51,no,170,118.9,50.5,terrestrial,Nocturnal,Terrestrial,Terrestrial,active_foraging,Oviparous,2.38,NE,NE,115.9,6844.4
Gekko_gecko,gekkonidae,Oriental,13.93,104.18,no,220,129.7,45,arboreal,Nocturnal,Arboreal_Saxicolous,Scansorial,sit_and_wait,Oviparous,2,LC,unknown,67.9,2299.5
Hemiergis_quadrilineata,scincidae,Australia,32.45,115.76,no,75,58.4,25,facultative_burrower,Nocturnal,Fossorial,Fossorial,active_foraging,Viviparous,4,LC,stable,83,3545
Lepidothyris_fernandi,scincidae,Afrotropic,4.31316948,8.58,no,180,107.3,30,terrestrial,Cathemeral,Terrestrial,Terrestrial,Sit_and_Wait,Oviparous,10,LC,unknown,56.7,910.4
Lygodactylus_picturatus,gekkonidae,Afrotropic,2.45,34.36,no,43,35.3,11.5,arboreal,Diurnal,Arboreal,Scansorial,mixed,Oviparous,2,LC,unknown,91,1711.1
Melanoseps_loveridgei,scincidae,Afrotropic,8.6,36.41,no,145,124.3,44,burrower,Cathemeral,Fossorial,Fossorial,active_foraging,Viviparous,4.25,LC,unknown,86.7,1429.7
Ophiodes_fragilis,anguidae,Neotropic,23.53,-50.52,no,300,192.5,45,facultative_burrower,Diurnal,Terrestrial,Terrestrial,active_foraging,Viviparous,5.55,NE,NE,45.1,2636.5
Phelsuma_grandis,gekkonidae,Madagascar,14.02,49.37,yes,118,97,31.5,arboreal,Diurnal,Arboreal,Scansorial,sit_and_wait,Oviparous,2,LC,unknown,69,1482.7
Plestiodon_marginatus,scincidae,Oriental,27.34,128.58,yes,100,72.3,NA,terrestrial,Diurnal,Terrestrial,Terrestrial,active_foraging,Oviparous,NA,NT,decreasing,NA,NA
Pogona_vitticeps,agamidae,Australia,27.19,140.18,no,250,152.6,40,terrestrial,Diurnal,Arboreal_Saxicolous,Scansorial,mixed,Oviparous,20.75,LC,unknown,43,5792.7
Pseudopus_apodus,anguidae,Palearctic,39.29,45.47,no,580,389.8,82.5,terrestrial,Diurnal,Terrestrial,Terrestrial,active_foraging,Oviparous,8.65,NE,NE,56.7,8154.6
Rieppeleon_brevicaudatus,chamaeleonidae,Afrotropic,7.69,37.95,no,75,57.6,NA,arboreal,Diurnal,Arboreal_Terrestrial,Scansorial,mixed,Oviparous,5,LC,unknown,78.7,1311
Takydromus_sexlineatus,lacertidae,Oriental,13.93,104.95,no,70,55.8,19,semi_arboreal,Diurnal,Arboreal_Terrestrial,Scansorial,active_foraging,Oviparous,2.2,LC,unknown,64.1,2460.9
Teratoscincus_scincus,gekkonidae,Palearctic,41.89,63.76,no,120,77.2,39.5,terrestrial,Nocturnal,Terrestrial,Terrestrial,mixed,Oviparous,2,LC,stable,56.5,10869.5
